evalNum,bestEvalValue_2
99000,4.093605783146389E-5
100000,4.089320752124777E-5
101000,4.086375629128633E-5
102000,4.0827804571347724E-5
103000,4.0793976230715475E-5
104000,4.0769762886330126E-5
105000,4.0725450569182415E-5
106000,4.069596810021935E-5
107000,4.066666448912144E-5
108000,4.063423436290825E-5
109000,4.061159735416127E-5
110000,4.058460724342953E-5
111000,4.0571537550769714E-5
112000,4.055964881437766E-5
113000,4.05498768061128E-5
114000,4.054082309595267E-5
115000,4.053066104500922E-5
116000,4.05189864948107E-5
117000,4.051236460214067E-5
118000,4.0496510478010306E-5
119000,4.0483388808692434E-5
120000,4.047203514048989E-5
121000,4.045517120178983E-5
122000,4.0438509514458566E-5
123000,4.041652776692438E-5
124000,4.039955830633697E-5
125000,4.038389929603745E-5
126000,4.0371508076123095E-5
127000,4.0356247832260354E-5
128000,4.0340802331309243E-5
129000,4.0330555304322566E-5
130000,4.031928919121258E-5
131000,4.031262751339604E-5
132000,4.030432866949118E-5
133000,4.029390763927856E-5
134000,4.028234321171505E-5
135000,4.0273408539219184E-5
136000,4.026846076707731E-5
137000,4.025740080919156E-5
138000,4.0253045961180854E-5
139000,4.0238797775969E-5
140000,4.023150034847446E-5
141000,4.02198001898534E-5
142000,4.021546066676518E-5
143000,4.021162388518318E-5
144000,4.020187264535298E-5
145000,4.0196344226432676E-5
146000,4.018629899960738E-5
147000,4.0180099563531076E-5
148000,4.0174495032367215E-5
149000,4.016968076123895E-5
150000,4.016650647196393E-5
151000,4.01630414841861E-5
152000,4.01577982750625E-5
153000,4.0152284102506946E-5
154000,4.014541160201105E-5
155000,4.013489698359264E-5
156000,4.012587021830946E-5
157000,4.01123937940445E-5
158000,4.0104190315735794E-5
159000,4.009851235402958E-5
160000,4.0094092947415226E-5
161000,4.0085999549518194E-5
162000,4.007824044707685E-5
163000,4.006978533756808E-5
164000,4.0061736788589397E-5
165000,4.005193128889893E-5
166000,4.004533996977724E-5
167000,4.003683573615056E-5
168000,4.0031558611333185E-5
169000,4.002538363923171E-5
170000,4.0021532653450564E-5
171000,4.001776653875541E-5
172000,4.001211373481973E-5
173000,4.001110393955221E-5
174000,4.0008967674168504E-5
175000,4.00071744634423E-5
176000,4.000422042054026E-5
177000,4.000106622051316E-5
178000,3.999593516833701E-5
179000,3.9991202947106586E-5
