evalNum,bestEvalValue_0,bestEvalValue_1,bestEvalValue_2
341000,0.750097173,0.271624389,2.73E-05
342000,0.74917903,0.271430948,2.71E-05
343000,0.747077266,0.271060588,2.69E-05
344000,0.744472112,0.270837811,2.68E-05
345000,0.744472112,0.270624049,2.65E-05
346000,0.741496323,0.270353094,2.61E-05
347000,0.739124509,0.269773515,2.61E-05
348000,0.738224266,0.269531231,2.59E-05
349000,0.735513522,0.269032926,2.56E-05
350000,0.733263831,0.26874455,2.56E-05
351000,0.732062125,0.268430289,2.54E-05
352000,0.731516008,0.268335839,2.52E-05
353000,0.728977504,0.267922883,2.50E-05
354000,0.727916807,0.267832124,2.50E-05
355000,0.726046267,0.267399128,2.49E-05
356000,0.724641784,0.26718687,2.47E-05
357000,0.723378007,0.266975803,2.46E-05
358000,0.721089321,0.266803301,2.44E-05
359000,0.720419576,0.266665043,2.43E-05
360000,0.718355166,0.266278396,2.42E-05
361000,0.718074636,0.266150231,2.41E-05
362000,0.716902218,0.265787071,2.40E-05
363000,0.716482481,0.265293102,2.39E-05
364000,0.715950708,0.265045257,2.37E-05
365000,0.715179911,0.26482296,2.37E-05
366000,0.714724981,0.264758458,2.36E-05
367000,0.714175485,0.264378039,2.35E-05
368000,0.713217516,0.264152302,2.34E-05
369000,0.713118342,0.263769245,2.33E-05
370000,0.712800287,0.263548478,2.32E-05
371000,0.712018977,0.263128951,2.31E-05
372000,0.711095431,0.26303545,2.29E-05
373000,0.710526346,0.26283998,2.28E-05
374000,0.709834562,0.262465572,2.27E-05
375000,0.709045742,0.262264717,2.25E-05
376000,0.708513869,0.261725296,2.24E-05
377000,0.707895112,0.261182265,2.20E-05
378000,0.707830077,0.261182265,2.20E-05
379000,0.707111628,0.260909475,2.18E-05
380000,0.706924412,0.260670791,2.18E-05
381000,0.706554263,0.260236694,2.16E-05
382000,0.706402492,0.259629475,2.12E-05
383000,0.706218557,0.25898463,2.08E-05
384000,0.705971248,0.258518693,2.07E-05
385000,0.705719492,0.257734869,2.06E-05
386000,0.705412457,0.256828686,2.04E-05
387000,0.705079226,0.256039292,2.04E-05
388000,0.704631045,0.255424602,2.02E-05
389000,0.704322294,0.254839339,2.00E-05
390000,0.70367971,0.253577821,2.00E-05
391000,0.703437164,0.25283777,1.99E-05
392000,0.70326018,0.251917899,1.96E-05
393000,0.702754131,0.251302376,1.95E-05
394000,0.702750244,0.250021073,1.94E-05
395000,0.702298069,0.250021073,1.93E-05
396000,0.702164795,0.249686884,1.92E-05
397000,0.701852665,0.249389134,1.91E-05
398000,0.701565167,0.248662113,1.90E-05
399000,0.701138516,0.248647643,1.90E-05
400000,0.70103775,0.248199519,1.89E-05
401000,0.700693736,0.247962015,1.87E-05
402000,0.700386703,0.247331419,1.86E-05
403000,0.70008525,0.247207857,1.84E-05
404000,0.699882469,0.246889099,1.84E-05
405000,0.69957156,0.246611649,1.83E-05
406000,0.69941136,0.2463521,1.82E-05
407000,0.698944758,0.246138314,1.81E-05
408000,0.698819614,0.245898129,1.80E-05
409000,0.69843394,0.245593689,1.80E-05
410000,0.698138462,0.245283178,1.80E-05
